gap_id,playbook,capture,photo_done,notes_done,filename,date_asia_shanghai,location,passport_nationality_optional,conflicts_observed
A1,pb-03,Luohu 口岸签证办公室 door 办公时间 board (not 出入境 hall; not 240h transit),,,,,,
A2,pb-03,取号 / ticket booth / form language / queue signs,,,,,,
A3,pb-03,Optional: clerk fee quote or receipt — do not invent a number,,,,,,
A4,pb-03,Optional West Kowloon: VOA desk yes/no + 240小时过境免签 signs,,,,,,
B1,pb-02,房屋码 scan UI on foreign WeChat (深圳公安 → 政务服务 → 出入境业务 → 境外人员临时住宿登记),,,,,,
B2,pb-02,Success toast exact text,,,,,,
B3,pb-02,Failure toast exact text if it appears,,,,,,
B4,pb-02,Landlord doorframe 房屋码 QR (permission first),,,,,,
C1,pb-05,Alipay 出行/Transport city = 深圳 (not 武汉 demo),,,,,,
C2,pb-05,乘车码 live QR at a named Shenzhen gate,,,,,,
C3,pb-05,Optional WeChat 乘车码 at same gate,,,,,,
D1,pb-01,Tour Card / 旅游卡 new 开通/激活 still offered or stopped,,,,,,
D2,pb-01,Direct bind 我的 → 银行卡 → 添加银行卡 result / error code,,,,,,
E1,pb-04,SIM hall 外国人/护照 plaque (no staff faces),,,,,,
E2,pb-06,Bank hall 外籍/护照 plaque (no staff faces; no invented street numbers),,,,,,
